"Repeat","ReceiverCount","WallSeconds","GoodputMBps","AggregateMBps","Complete","ExitCodes","HashesMatched","Interface","Group","ChunkSize","SizeBytes","SniffDatagrams","SniffPayloadB","SniffEthernetB","WireAmplification","SniffChunkPacket","SniffPeerHave","SniffChunkReq","SniffChunkResp","SniffFragment"
"1","1","9.92","10.081","10.081","True","","1","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"1","2","10.143","9.859","19.718","True","|","2","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"1","3","11.716","8.535","25.606","True","||","3","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"1","5","16.498","6.061","30.307","True","||||","5","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"2","1","9.69","10.32","10.32","True","","1","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"2","2","9.646","10.367","20.734","True","|","2","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"2","3","11.949","8.369","25.107","True","||","3","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"2","5","16.472","6.071","30.355","True","||||","5","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"3","1","9.913","10.088","10.088","True","","1","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"3","2","10.376","9.638","19.275","True","|","2","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"3","3","11.453","8.731","26.194","True","||","3","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
"3","5","15.699","6.37","31.849","True","||||","5","Ethernet","239.192.58.11","262144","104857600",,,,,,,,,
