"Repeat","ReceiverCount","WallSeconds","GoodputMBps","AggregateMBps","Complete","ExitCodes","HashesMatched","Interface","Group","ChunkSize","SizeBytes","SniffDatagrams","SniffPayloadB","SniffEthernetB","WireAmplification","SniffChunkPacket","SniffPeerHave","SniffChunkReq","SniffChunkResp","SniffFragment"
"1","1","4.338","23.052","23.052","True","","1","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"1","2","7.644","13.082","26.164","True","|","2","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"1","3","10.391","9.624","28.871","True","||","3","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"1","5","14.935","6.696","33.478","True","||||","5","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"2","1","4.371","22.878","22.878","True","","1","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"2","2","7.353","13.6","27.2","True","|","2","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"2","3","10.157","9.845","29.536","True","||","3","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"2","5","14.667","6.818","34.09","True","||||","5","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"3","1","4.4","22.727","22.727","True","","1","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"3","2","7.412","13.492","26.983","True","|","2","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"3","3","9.891","10.11","30.331","True","||","3","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
"3","5","14.707","6.799","33.997","True","||||","5","Loopback Pseudo-Interface 1","239.192.58.11","262144","104857600",,,,,,,,,
